DATE,HOUR,UTC,TMP,DPT,WDR,WSP,WGS,PPO,PCO,P06,TP2,TC2,POZ,POS,TYP,CLD,CIG,CCG,VIS,CVS,OBV
1/01/2013,0000, 01, 37, 22, 24, 10, NG,  6,  N,   ,   ,   ,  0, 78,  S, OV,  7,  6,  7,  7,  N
1/02/2013,0000, 01, 33, 15, 32, 11, NG,  0,  N,   ,   ,   ,  0, 95,  S, BK,  8,  7,  7,  7,  N
1/03/2013,0000, 01, 30, 13, 30, 09, NG,  0,  N,   ,   ,   ,  2, 99,  S, BK,  8,  7,  7,  7,  N
1/04/2013,0000, 01, 30, 15, 25, 09, NG,  0,  N,   ,   ,   ,  2, 98,  S, BK,  8,  7,  7,  7,  N
1/05/2013,0000, 01, 35, 20, 25, 11, NG,  0,  N,   ,   ,   ,  0, 94,  S, FW,  8,  8,  7,  7,  N
1/06/2013,0000, 01, 37, 22, 25, 07, NG,  0,  N,   ,   ,   ,  1, 79,  S, SC,  8,  7,  7,  7,  N
1/07/2013,0000, 01, 43, 25, 26, 09, NG,  0,  N,   ,   ,   ,  0, 33,  R, SC,  7,  7,  7,  7,  N
1/08/2013,0000, 01, 39, 20, 29, 04, NG,  0,  N,   ,   ,   ,  3, 69,  S, CL,  8,  8,  7,  7,  N
1/09/2013,0000, 01, 40, 31, 24, 07, NG,  0,  N,   ,   ,   ,  0, 12,  R, BK,  8,  7,  7,  7,  N
1/10/2013,0000, 01, 46, 36, 26, 11, NG,  0,  N,   ,   ,   ,  0,  0,  R, BK,  8,  8,  7,  7,  N
1/11/2013,0000, 01, 43, 24, 34, 06, NG,  0,  N,   ,   ,   ,  4,  3,  R, SC,  8,  7,  7,  7,  N
1/12/2013,0000, 01, 45, 44, 11, 04, NG, 90,  Y,   ,   ,   ,  1,  2,  R, OV,  6,  5,  5,  5, BR
1/13/2013,0000, 01, 46, 44, 27, 01, NG,  0,  N,   ,   ,   ,  1,  1,  R, OV,  3,  3,  5,  5, BR
1/14/2013,0000, 01, 49, 45, 21, 02, NG,  0,  N,   ,   ,   ,  1,  0,  R, OV,  3,  3,  7,  5,  N
1/15/2013,0000, 01, 50, 30, 34, 11, NG,  4,  N,   ,   ,   ,  1,  0,  R, OV,  6,  6,  7,  7,  N
1/16/2013,0000, 01, 39, 26, 36, 06, NG,  7,  N,   ,   ,   ,  5, 31,  R, OV,  6,  6,  7,  7,  N
1/17/2013,0000, 01, 36, 33, 24, 10, NG,  0,  N,   ,   ,   ,  4,  5,  R, OV,  4,  4,  7,  5,  N
1/18/2013,0000, 01, 40, 24, 34, 06, NG,  4,  N,   ,   ,   ,  0, 71,  S, OV,  7,  6,  7,  7,  N
1/19/2013,0000, 01, 27,  7, 22, 06, NG,  0,  N,   ,   ,   ,  2, 99,  S, FW,  8,  8,  7,  6,  N
1/20/2013,0000, 01, 46, 28, 21, 12, NG,  0,  N,   ,   ,   ,  0,  1,  R, BK,  8,  7,  7,  7,  N
1/21/2013,0000, 01, 40, 12, 30, 20, 27,  0,  N,   ,   ,   ,  0, 84,  S, FW,  8,  7,  7,  7,  N
1/22/2013,0000, 01, 32, 15, 33, 03, NG,  9,  N,   ,   ,   ,  2, 98,  S, OV,  6,  6,  7,  5,  N
1/23/2013,0000, 01, 17, -5, 28, 17, 24,  0,  N,   ,   ,   ,  1, 97,  S, FW,  8,  6,  7,  5,  N
1/24/2013,0000, 01, 17, -3, 30, 07, NG,  1,  N,   ,   ,   ,  1, 97,  S, FW,  8,  7,  7,  5,  N
1/25/2013,0000, 01, 19, -4, 30, 16, 24,  0,  N,   ,   ,   ,  1, 97,  S, CL,  8,  8,  7,  5,  N
1/26/2013,0000, 01, 20, 16, 24, 04, NG, 80,  Y,   ,   ,   ,  0, 99,  S, OV,  4,  4,  3,  3, BR
1/27/2013,0000, 01, 23,  4, 32, 13, 21,  0,  N,   ,   ,   ,  1, 98,  S, CL,  8,  8,  7,  5,  N
1/28/2013,0000, 01, 31,  9, 29, 06, NG,  0,  N,   ,   ,   ,  1, 98,  S, BK,  8,  8,  7,  6,  N
1/29/2013,0000, 01, 35, 33, 23, 07, NG, 53,  Y,   ,   ,   ,  5, 13,  R, OV,  3,  3,  5,  5, BR
1/30/2013,0000, 01, 43, 40, 13, 05, NG, 62,  Y,   ,   ,   ,  1,  2,  R, OV,  5,  5,  5,  5, BR
1/31/2013,0000, 01, 57, 54, 18, 04, NG, 82,  Y,   ,   ,   ,  0,  0,  R, OV,  5,  5,  7,  7,  N
1/01/2013,0100, 02, 37, 22, 24, 10, NG,  8,  N,   ,   ,   ,  0, 60,  S, OV,  7,  6,  7,  7,  N
1/02/2013,0100, 02, 32, 13, 33, 09, NG,  0,  N,   ,   ,   ,  1, 81,  S, BK,  8,  7,  7,  7,  N
1/03/2013,0100, 02, 30, 14, 29, 07, NG,  0,  N,   ,   ,   ,  2, 90,  S, BK,  8,  6,  7,  7,  N
1/04/2013,0100, 02, 31, 15, 24, 10, NG,  0,  N,   ,   ,   ,  2, 89,  S, BK,  7,  7,  7,  7,  N
1/05/2013,0100, 02, 35, 20, 26, 11, 18,  0,  N,   ,   ,   ,  0, 75,  S, FW,  8,  7,  7,  7,  N
1/06/2013,0100, 02, 35, 22, 24, 06, NG,  0,  N,   ,   ,   ,  0, 69,  S, SC,  8,  7,  7,  7,  N
1/07/2013,0100, 02, 42, 25, 27, 09, NG,  1,  N,   ,   ,   ,  0, 34,  R, BK,  7,  7,  7,  7,  N
1/08/2013,0100, 02, 38, 22, 23, 02, NG,  0,  N,   ,   ,   ,  1, 56,  S, CL,  8,  8,  7,  7,  N
1/09/2013,0100, 02, 39, 31, 23, 05, NG,  0,  N,   ,   ,   ,  0, 15,  R, BK,  8,  7,  7,  7,  N
1/10/2013,0100, 02, 45, 35, 26, 11, NG,  0,  N,   ,   ,   ,  0,  1,  R, FW,  8,  7,  7,  7,  N
1/11/2013,0100, 02, 42, 24, 36, 04, NG,  0,  N,   ,   ,   ,  3,  8,  R, BK,  8,  6,  7,  7,  N
1/12/2013,0100, 02, 46, 44, 10, 02, NG, 89,  Y,   ,   ,   ,  1,  0,  R, OV,  3,  3,  5,  5, BR
1/13/2013,0100, 02, 46, 44, 00, 00, NG,  0,  N,   ,   ,   ,  1,  3,  R, OV,  3,  3,  5,  5, BR
1/14/2013,0100, 02, 49, 47, 15, 01, NG,  1,  N,   ,   ,   ,  1,  2,  R, OV,  3,  3,  3,  3, BR
1/15/2013,0100, 02, 48, 28, 34, 10, NG,  7,  N,   ,   ,   ,  0,  0,  R, OV,  6,  6,  7,  7,  N
1/16/2013,0100, 02, 38, 26, 02, 04, NG, 11,  N,   ,   ,   ,  2, 32,  R, OV,  6,  6,  7,  7,  N
1/17/2013,0100, 02, 36, 33, 25, 10, NG,  0,  N,   ,   ,   ,  3, 13,  R, OV,  3,  3,  7,  7,  N
1/18/2013,0100, 02, 40, 25, 34, 05, NG,  6,  N,   ,   ,   ,  0, 54,  S, OV,  6,  6,  7,  7,  N
1/19/2013,0100, 02, 27, 10, 21, 07, NG,  1,  N,   ,   ,   ,  3, 89,  S, FW,  8,  7,  7,  7,  N
1/20/2013,0100, 02, 46, 28, 21, 10, 18,  0,  N,   ,   ,   ,  0,  0,  R, BK,  8,  7,  7,  7,  N
1/21/2013,0100, 02, 37, 11, 31, 14, 21,  0,  N,   ,   ,   ,  0, 68,  S, FW,  8,  7,  7,  7,  N
1/22/2013,0100, 02, 31, 15, 32, 07, NG,  7,  N,   ,   ,   ,  3, 89,  S, OV,  6,  6,  7,  7,  N
1/23/2013,0100, 02, 16, -6, 29, 18, 25,  1,  N,   ,   ,   ,  1, 84,  S, FW,  8,  6,  7,  7,  N
1/24/2013,0100, 02, 15, -1, 31, 06, NG,  2,  N,   ,   ,   ,  1, 82,  S, FW,  8,  7,  7,  7,  N
