DATE,HOUR,UTC,TMP,DPT,WDR,WSP,WGS,PPO,PCO,P06,TP2,TC2,POZ,POS,TYP,CLD,CIG,CCG,VIS,CVS,OBV
01/01/2013,0,1,25,18,33,7, NG,1,  N,   ,   ,   ,1,98,  S, OV,8,6,7,7,  N
01/02/2013,0,1,16,5,30,7, NG,0,  N,   ,   ,   ,1,98,  S, CL,8,8,7,7,  N
01/03/2013,0,1,24,14,19,8, NG,0,  N,   ,   ,   ,1,98,  S, FW,8,7,7,7,  N
01/04/2013,0,1,26,18,27,12, NG,6,  N,   ,   ,   ,0,100,  S, OV,6,6,7,7,  N
01/05/2013,0,1,31,21,25,9, NG,0,  N,   ,   ,   ,9,74,  S, CL,8,8,7,7,  N
01/06/2013,0,1,35,33,21,14,20,60,  Y,   ,   ,   ,0,35,  R, OV,5,4,7,5,  N
01/07/2013,0,1,27,21,29,7, NG,0,  N,   ,   ,   ,1,98,  S, FW,8,7,7,7,  N
01/08/2013,0,1,33,26,20,12, NG,0,  N,   ,   ,   ,7,40,  S, BK,8,7,7,7,  N
01/09/2013,0,1,37,29,18,10, NG,0,  N,   ,   ,   ,1,17,  R, SC,8,7,7,7,  N
01/10/2013,0,1,38,22,28,10, NG,0,  N,   ,   ,   ,0,29,  R, BK,8,7,7,7,  N
01/11/2013,0,1,39,33,12,14, NG,88,  Y,   ,   ,   ,0,6,  R, OV,4,4,7,7,  N
01/12/2013,0,1,50,48,18,13, NG,0,  N,   ,   ,   ,0,0,  R, BK,8,5,7,7,  N
1/13/2013,0,1,33,27,31,7, NG,9,  N,   ,   ,   ,12,31,  R, OV,7,6,7,7,  N
1/14/2013,0,1,19,11,28,13, NG,0,  N,   ,   ,   ,1,98,  S, OV,6,6,7,7,  N
1/15/2013,0,1,22,11,22,2, NG,0,  N,   ,   ,   ,1,98,  S, FW,8,7,7,7,  N
1/16/2013,0,1,26,14,24,4, NG,0,  N,   ,   ,   ,1,98,  S, FW,8,7,7,7,  N
1/17/2013,0,1,34,24,26,17,23,2,  N,   ,   ,   ,3,83,  S, OV,5,5,7,7,  N
1/18/2013,0,1,23,9,29,6, NG,0,  N,   ,   ,   ,1,98,  S, CL,8,8,7,7,  N
1/19/2013,0,1,39,28,21,19,27,0,  N,   ,   ,   ,3,1,  R, SC,8,7,7,7,  N
1/20/2013,0,1,44,35,25,16,23,0,  N,   ,   ,   ,0,20,  R, SC,8,7,7,7,  N
1/21/2013,0,1,17,2,29,8, NG,1,  N,   ,   ,   ,1,98,  S, SC,7,6,7,7,  N
1/22/2013,0,1,7,-10,29,15,21,0,  N,   ,   ,   ,1,98,  S, FW,8,8,7,7,  N
1/23/2013,0,1,8,-7,29,9, NG,0,  N,   ,   ,   ,1,98,  S, SC,8,7,7,7,  N
1/24/2013,0,1,19,8,30,12,18,36,  N,   ,   ,   ,0,100,  S, BK,6,6,7,7,  N
1/25/2013,0,1,20,2,14,9, NG,1,  N,   ,   ,   ,1,98,  S, OV,7,6,7,7,  N
1/26/2013,0,1,27,18,28,9, NG,22,  N,   ,   ,   ,1,98,  S, OV,6,6,7,7,  N
1/27/2013,0,1,23,8,13,3, NG,0,  N,   ,   ,   ,1,98,  S, FW,8,6,7,7,  N
1/28/2013,0,1,32,29,16,16,22,60,  Y,   ,   ,   ,47,0,  Z, OV,5,4,7,5,  N
1/29/2013,0,1,39,37,10,6, NG,3,  N,   ,   ,   ,1,3,  R, BK,4,3,7,7,  N
1/30/2013,0,1,55,53,25,6, NG,87,  Y,   ,   ,   ,0,0,  R, OV,5,5,6,5, BR
1/31/2013,0,1,28,24,30,17,24,74,  Y,   ,   ,   ,0,100,  S, OV,5,5,5,5, BR
01/01/2013,100,2,24,17,34,8, NG,0,  N,   ,   ,   ,2,94,  S, OV,6,4,7,7,  N
01/02/2013,100,2,14,4,29,6, NG,0,  N,   ,   ,   ,1,92,  S, CL,8,8,7,7,  N
01/03/2013,100,2,22,14,20,9, NG,1,  N,   ,   ,   ,1,92,  S, FW,8,7,7,7,  N
01/04/2013,100,2,25,18,27,11, NG,4,  N,   ,   ,   ,1,95,  S, OV,6,6,7,7,  N
01/05/2013,100,2,30,21,25,9, NG,0,  N,   ,   ,   ,5,82,  S, CL,8,8,7,7,  N
01/06/2013,100,2,35,32,21,13,19,57,  Y,   ,   ,   ,0,82,  S, OV,4,4,7,6,  N
01/07/2013,100,2,26,21,28,6, NG,0,  N,   ,   ,   ,1,93,  S, FW,8,8,7,7,  N
01/08/2013,100,2,33,25,21,11, NG,0,  N,   ,   ,   ,6,55,  S, BK,8,6,7,7,  N
01/09/2013,100,2,37,29,19,12, NG,0,  N,   ,   ,   ,2,27,  R, FW,8,6,7,7,  N
01/10/2013,100,2,36,22,30,7, NG,0,  N,   ,   ,   ,3,44,  R, SC,8,6,7,7,  N
01/11/2013,100,2,38,35,13,13, NG,44,  Y,   ,   ,   ,1,14,  R, OV,4,4,7,5,  N
01/12/2013,100,2,51,48,19,15,21,0,  N,   ,   ,   ,0,2,  R, BK,8,6,7,7,  N
1/13/2013,100,2,34,25,34,6, NG,36,  N,   ,   ,   ,7,40,  R, OV,7,6,7,7,  N
1/14/2013,100,2,17,10,29,14, NG,0,  N,   ,   ,   ,1,92,  S, BK,6,5,7,7,  N
1/15/2013,100,2,20,12,26,3, NG,0,  N,   ,   ,   ,1,92,  S, CL,8,6,7,7,  N
1/16/2013,100,2,25,15,26,4, NG,0,  N,   ,   ,   ,2,94,  S, FW,8,6,7,7,  N
1/17/2013,100,2,34,25,26,15, NG,1,  N,   ,   ,   ,2,81,  S, OV,6,6,7,7,  N
1/18/2013,100,2,22,10,28,6, NG,0,  N,   ,   ,   ,2,95,  S, CL,8,8,7,7,  N
1/19/2013,100,2,39,28,21,20,28,0,  N,   ,   ,   ,2,10,  R, SC,8,6,7,7,  N
1/20/2013,100,2,43,32,26,18,26,0,  N,   ,   ,   ,0,31,  R, FW,8,6,7,7,  N
1/21/2013,100,2,16,2,29,8, NG,0,  N,   ,   ,   ,1,91,  S, BK,7,6,7,7,  N
1/22/2013,100,2,6,-9,30,14,20,0,  N,   ,   ,   ,1,88,  S, FW,8,8,7,7,  N
1/23/2013,100,2,9,-7,29,9, NG,0,  N,   ,   ,   ,1,88,  S, BK,8,6,7,7,  N
1/24/2013,100,2,18,6,31,13, NG,28,  N,   ,   ,   ,1,91,  S, OV,6,6,7,7,  N
1/25/2013,100,2,19,1,16,9, NG,2,  N,   ,   ,   ,1,92,  S, OV,8,6,7,7,  N
1/26/2013,100,2,27,17,32,10, NG,0,  N,   ,   ,   ,2,94,  S, OV,6,6,7,7,  N
1/27/2013,100,2,25,13,15,5, NG,1,  N,   ,   ,   ,2,93,  S, OV,7,6,7,7,  N
1/28/2013,100,2,33,31,16,15,22,87,  Y,   ,   ,   ,20,3,  Z, OV,4,4,5,5, BR
1/29/2013,100,2,41,38,10,6, NG,3,  N,   ,   ,   ,1,12,  R, OV,4,4,7,7,  N
1/30/2013,100,2,54,54,27,6, NG,92,  Y,   ,   ,   ,0,0,  R, OV,6,6,5,5, BR
1/31/2013,100,2,27,22,30,17,25,80,  Y,   ,   ,   ,0,100,  S, OV,5,4,5,5, BR
01/01/2013,200,3,24,17,35,8, NG,0,  N,   ,   ,   ,1,93,  S, OV,4,4,7,7,  N
01/02/2013,200,3,13,4,29,7, NG,0,  N,   ,   ,   ,1,93,  S, CL,8,8,7,7,  N
01/03/2013,200,3,22,14,21,9, NG,1,  N,   ,   ,   ,1,93,  S, CL,8,7,7,7,  N
01/04/2013,200,3,22,16,27,12, NG,3,  N,   ,   ,   ,1,91,  S, OV,8,6,7,7,  N
01/05/2013,200,3,29,22,25,10, NG,0,  N,   ,   ,   ,5,78,  S, CL,8,8,7,7,  N
01/06/2013,200,3,35,32,21,16,22,56,  Y,   ,   ,   ,0,82,  S, OV,4,4,7,6,  N
01/07/2013,200,3,24,20,26,6, NG,0,  N,   ,   ,   ,1,93,  S, CL,8,8,7,7,  N
01/08/2013,200,3,32,25,21,10, NG,0,  N,   ,   ,   ,7,60,  S, BK,8,6,7,7,  N
01/09/2013,200,3,36,29,19,14, NG,0,  N,   ,   ,   ,3,32,  R, SC,8,6,7,7,  N
01/10/2013,200,3,34,23,33,6, NG,0,  N,   ,   ,   ,4,43,  R, SC,8,6,7,7,  N
01/11/2013,200,3,38,36,12,12, NG,96,  Y,   ,   ,   ,0,5,  R, OV,4,4,5,5, BR
01/12/2013,200,3,51,48,19,17,24,0,  N,   ,   ,   ,0,2,  R, OV,8,6,7,7,  N
1/13/2013,200,3,33,25,34,8, NG,85,  Y,   ,   ,   ,71,0,  Z, OV,6,6,7,7,  N
1/14/2013,200,3,16,8,29,15,21,32,  N,   ,   ,   ,0,100,  S, OV,5,5,7,7,  N
1/15/2013,200,3,20,12,27,4, NG,0,  N,   ,   ,   ,1,93,  S, CL,8,7,7,7,  N
1/16/2013,200,3,24,15,27,4, NG,0,  N,   ,   ,   ,2,95,  S, FW,8,6,7,7,  N
1/17/2013,200,3,34,25,26,11, NG,0,  N,   ,   ,   ,2,81,  S, OV,7,6,7,7,  N
1/18/2013,200,3,21,11,28,5, NG,0,  N,   ,   ,   ,2,95,  S, CL,8,8,7,7,  N
1/19/2013,200,3,39,29,22,18,26,0,  N,   ,   ,   ,2,13,  R, BK,8,6,7,7,  N
1/20/2013,200,3,41,29,26,20,29,0,  N,   ,   ,   ,1,51,  R, SC,8,6,7,7,  N
1/21/2013,200,3,16,2,30,8, NG,0,  N,   ,   ,   ,1,93,  S, BK,7,6,7,7,  N
1/22/2013,200,3,6,-10,30,13,19,0,  N,   ,   ,   ,1,91,  S, CL,8,8,7,5,  N
1/23/2013,200,3,9,-6,30,8, NG,0,  N,   ,   ,   ,1,91,  S, BK,8,6,7,7,  N
1/24/2013,200,3,17,7,32,13, NG,60,  Y,   ,   ,   ,0,100,  S, OV,6,6,7,7,  N
1/25/2013,200,3,19,1,14,11, NG,2,  N,   ,   ,   ,1,93,  S, OV,8,6,7,7,  N
1/26/2013,200,3,25,14,31,9, NG,0,  N,   ,   ,   ,1,93,  S, OV,6,6,7,7,  N
1/27/2013,200,3,25,14,16,6, NG,1,  N,   ,   ,   ,1,93,  S, OV,7,6,7,7,  N
1/28/2013,200,3,34,31,17,15,21,64,  Y,   ,   ,   ,58,0,  Z, OV,3,3,7,5,  N
